W,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
W,w,w,w,c,c,c,c,c,c,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,c,c,c,c,c,c,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
C,c,c,c,c,c,c,c,c,c,c,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,c,c,c,c,c,c,c,c,c,c,c,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
R,c,c,c,c,w,w,w,w,w,w,w,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,c,c,c,c,c,c,w,w,w,c,w,c,w,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
c,c,c,c,c,w,w,w,w,w,w,w,c,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,g,w,w,w,w,w,w,g,w,w,c,c,c,c,c,c,c,c,w,w,w,w,w,w,w,c,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,g
w,w,w,w,w,w,w,w,w,w,w,w,w,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,g,w,w,w,g,g,g,w,w,g,g,g,g,c,c,c,c,c,w,w,w,w,w,w,w,w,w,w,w,c,c,c,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,g,g,g,g
w,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,w,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,c,c,c,w,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,w,w,w,w,w,w,w,w,g,g,g,g,g
w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,c,g,g,g,g,g,w,w,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,c,g,g,g,g,g,w,w,w,w,w,w,w,w,w,g,g,g,g,g,g
w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,c,g,c,g,g,w,w,w,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,w,w,w,w,g,g,g,g,g,g,g
w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,c,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,c,g,g,g,g,w,w,w,w,w,g,g,g,g,g,g,g,g
w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,c,c,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,c,g,c,g,g,g,g,g,w,g,w,w,g,g,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,c,c,g,g,g,g,w,w,w,w,w,g,g,g,g,g,g,g,g
w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,c,g,g,c,g,g,g,g,g,g,g,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,w,g,g,g,g,g,g,g,g,g
w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,c,g,g,g,g,g,g,g,g,g,g,g,c,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,c,g,g,g,w,w,g,g,g,g,g,g,g,g,g,g,g
w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,c,c,g,c,g,g,c,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
w,w,w,w,w,w,w,w,w,w,g,g,g,g,w,w,g,g,g,g,g,c,g,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,g,g,g,g,w,g,g,w,g,g,g,w,w,w,w,w,w,w,w,w,g,g,g,g,w,w,g,g,g,g,g,c,g,g,g,g,g,g,g,g,g,g,g,g,g,w
w,w,w,w,w,w,w,w,w,g,g,g,g,g,w,w,w,w,w,g,c,c,g,g,g,g,g,g,g,g,g,g,g,g,w,w,w,w,g,g,g,w,w,w,w,w,g,g,g,g,w,w,w,w,w,w,w,g,g,g,g,g,w,w,w,w,w,g,c,c,g,g,g,g,g,g,g,g,g,g,g,g,w,w
w,w,w,w,w,w,w,w,w,w,g,g,w,w,w,w,w,w,w,w,c,c,c,w,w,w,w,w,w,w,w,w,g,g,w,w,w,w,w,g,w,w,w,w,w,w,w,w,g,g,w,w,w,w,w,w,w,w,g,g,w,w,w,w,w,w,w,w,c,c,c,w,w,w,w,w,w,w,w,w,g,g,w,w
